Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732,83.83170732,82.33170732,83.17804878
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146,78.59512195,76.74146341
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.73,60.721,61.543,62.373,62.905,63.649,64.392,64.838,65.412,65.838,65.371,64.975
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.63003371,80.13874215,80.15765949,80.46479377,80.8719824,80.56843942,80.95129748,80.93259862,81.028729,81.31485796,80.45209305,80.38730785
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.30555888,59.96427091,60.16457552,60.46396375,60.70788786,61.01220582,61.28991627,61.65438595,61.96927474,62.26686437,61.7597036,61.25059012
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683,81.93170732,81.93414634
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.328,67.523,67.552,67.428,67.376,66.844,67.24,67.79,67.81,67.893,67.924,67.114
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.66341463,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976,82.32439024
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.63658537,80.93902439,81.1902439,81.44146341,81.59268293,81.79268293,82.04390244,82.34390244,82.59512195,82.94634146,83.19756098,83.49756098
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.233,71.318,71.398,71.499,71.529,71.408,71.595,71.467,71.318,71.077,70.674,70.71
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.898,64.045,64.587,64.776,64.974,65.46,65.802,66.189,66.306,66.603,66.531,65.821
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756,81.40487805,80.35121951,80.7
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.128,72.39,72.412,72.628,73.099,73.297,73.569,73.57,73.341,73.47,72.765,71.694
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.157,61.652,62.081,62.42,63.045,63.175,63.89,64.013,64.122,64.74,64.114,63.795
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.958,81.871,83.366,80.55,81.882,80.427,81.702,81.83,82.154,82.363,82.198,79.329
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.72,57.019,57.406,57.791,57.886,58.134,58.763,59.109,59.349,59.72,59.327,58.892
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.717,61.526,62.096,62.114,62.269,62.494,63.013,62.995,63.04,63.755,62.612,62.083
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.23,56.967,57.69,58.232,58.61,59.128,59.674,60.066,60.502,60.882,59.999,59.652
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.878,58.412,58.865,59.224,59.595,60.103,60.479,60.821,61.191,61.644,60.708,60.594
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488,81.63902439,81.28780488,80.18292683
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.999,75.295,75.042,75.116,74.985,75.013,74.762,74.765,74.808,74.863,74.924,74.936
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.29195122,69.82487805,70.55,71.57341463,71.98560976,71.97731707,71.82512195,71.64121951,71.88658537,72.04365854,71.63682927,71.14756098
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.878,71.177,71.463,71.728,71.964,72.103,72.355,72.551,72.726,73.129,71.797,69.237
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.879,76.872,76.707,76.72,76.749,76.616,76.877,77.155,77.439,77.717,76.612,76.656
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.743,66.982,67.23,67.473,67.882,68.201,68.384,68.667,68.896,69.124,68.486,65.673
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.76076263,80.03239216,80.15202374,80.343409,80.59891528,80.48403238,80.64248185,80.68228313,80.76904705,80.98430049,80.08088128,79.92383024
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.97804878,83.42195122,83.4804878,83.83170732,83.9804878,84.27804878,84.22682927,84.6804878,84.93414634,85.1804878,85.49756098,85.49268293
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.088,71.439,71.734,71.963,72.259,72.487,72.588,72.692,72.814,72.881,71.462,70.123
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.57768857,59.4752204,60.07801762,60.64456075,61.14707309,61.61254773,62.16196194,62.54976047,62.94757595,63.33805695,62.76172018,62.3027854
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976,78.02195122,77.82682927,78.07073171,78.42439024,77.72439024,76.42439024
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.019,61.623,62.291,62.605,62.987,63.237,63.392,63.854,64.019,64.255,64.052,63.192
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.20731707,74.85853659,75.06341463,75.56585366,75.76341463,75.56829268,76.06341463,75.81707317,76.06585366,76.3195122,75.56829268,74.46585366
