,Country,Code,Year,Life Expectancy,Consumption of Alcohol
296,Turkmenistan,TKM,2015,68.782,5.3
297,Tonga,TON,2010,70.323,1.39
298,Tonga,TON,2015,70.607,0.68
299,Trinidad and Tobago,TTO,2010,72.725,6.21
300,Trinidad and Tobago,TTO,2015,74.503,6.88
301,Tunisia,TUN,2010,75.421,1.4
302,Tunisia,TUN,2015,75.692,1.99
303,Tuvalu,TUV,2010,63.978,1.68
304,Tuvalu,TUV,2015,64.06,1.98
305,Tanzania,TZA,2010,60.105,9.74
306,Tanzania,TZA,2015,64.651,11.05
307,Uganda,UGA,2010,57.055,13.5
308,Uganda,UGA,2015,61.086,15.14
309,Ukraine,UKR,2010,70.26536585,13.57
310,Ukraine,UKR,2015,71.1895122,10.16
311,Uruguay,URY,2010,76.858,7.1
312,Uruguay,URY,2015,77.483,6.99
313,United States,USA,2010,78.54146341,9.36
314,United States,USA,2015,78.6902439,9.82
315,Uzbekistan,UZB,2010,69.235,3.01
316,Uzbekistan,UZB,2015,70.475,2.59
317,Vietnam,VNM,2010,73.513,4.9
318,Vietnam,VNM,2015,73.876,7.86
319,Vanuatu,VUT,2010,69.617,1.7
320,Vanuatu,VUT,2015,69.513,2.14
321,Samoa,WSM,2010,72.249,2.97
322,Samoa,WSM,2015,72.515,2.59
323,South Africa,ZAF,2010,58.899,10.04
324,South Africa,ZAF,2015,63.95,9.61
325,Zambia,ZMB,2010,56.799,5.43
326,Zambia,ZMB,2015,61.208,6.89
327,Zimbabwe,ZWE,2010,50.652,3.93
328,Zimbabwe,ZWE,2015,59.591,4.92
